City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
274,Katol,IN,21.2667,78.5833,73.83,95,100,8.03,overcast clouds
275,Gimli,CA,50.6336,-96.9907,57.88,74,67,10.02,broken clouds
276,Inirida,CO,3.8653,-67.9239,70.25,98,81,0.76,broken clouds
277,Deputatskiy,RU,69.3,139.9,67.96,47,100,5.97,overcast clouds
278,Srednekolymsk,RU,67.45,153.6833,72.64,29,100,12.12,overcast clouds
279,Pringsewu,ID,-5.3582,104.9744,83.41,70,98,2.82,overcast clouds
280,Strezhevoy,RU,60.7333,77.5889,60.06,68,4,8.39,clear sky
281,Riohacha,CO,11.5444,-72.9072,76.05,87,41,7.56,scattered clouds
282,Biograd Na Moru,HR,43.9433,15.4519,72.3,65,0,5.57,clear sky
283,Nouadhibou,MR,20.931,-17.0347,76.98,78,41,20.71,scattered clouds
284,Pontal Do Parana,BR,-25.6533,-48.5128,62.71,94,100,2.28,overcast clouds
285,Priyutnoye,RU,46.1011,43.5072,67.86,65,39,8.97,scattered clouds
286,Buala,SB,-8.145,159.5921,86.68,64,80,7.96,light rain
287,Seminole,US,28.7086,-81.2081,84.22,86,0,4.61,clear sky
288,Makinsk,KZ,52.6292,70.4169,71.04,50,1,8.46,clear sky
289,Narsaq,GL,60.9167,-46.05,48.42,70,100,4.59,overcast clouds
290,Mehamn,NO,71.0357,27.8492,49.95,81,40,5.75,scattered clouds
291,Kaeo,NZ,-35.1,173.7833,63.32,97,100,20.92,light rain
292,Zyryanka,RU,65.75,150.85,77.85,26,45,1.59,scattered clouds
293,Haines Junction,CA,60.7522,-137.5108,58.95,72,100,1.14,overcast clouds
294,Marzuq,YE,14.4,46.4667,76.77,66,100,4.92,overcast clouds
295,Riosucio,CO,5.4216,-75.7032,59.07,98,99,1.3,overcast clouds
296,Kaitangata,NZ,-46.2817,169.8464,46.2,90,100,11.88,overcast clouds
297,Martapura,ID,-3.4167,114.85,86.09,62,20,5.75,few clouds
298,Irtyshskiy,RU,58.3333,68.1333,60.84,85,98,7.94,light rain
299,Monticello,US,45.3055,-93.7941,69.6,71,20,4.61,few clouds
300,Torbay,CA,47.6666,-52.7314,70.88,75,40,16.11,scattered clouds
301,Talnakh,RU,69.4865,88.3972,56.95,75,100,31.68,light rain
302,Maymyo,MM,22.0333,96.4667,76.37,72,48,1.63,scattered clouds
303,Weyburn,CA,49.6668,-103.8511,62.82,77,5,6.91,clear sky
304,Tomiya,JP,38.3931,140.8861,81.18,71,87,3.22,overcast clouds
305,Las Tunas,CU,20.9617,-76.9511,76.73,81,99,11.36,overcast clouds
306,Mayumba,GA,-3.432,10.6554,70.79,88,100,2.42,overcast clouds
307,Pochutla,MX,15.7432,-96.4661,78.62,91,91,3.74,overcast clouds
308,Kamaishi,JP,39.2667,141.8833,80.06,71,40,2.89,scattered clouds
309,Dondaicha,IN,21.3333,74.5667,77.52,84,100,7.78,overcast clouds
310,Crotone,IT,39.0851,17.1178,82.18,55,0,2.55,clear sky
311,Kabwe,ZM,-14.4469,28.4464,54.7,60,3,4.88,clear sky
312,Chimbote,PE,-9.0853,-78.5783,61.43,91,93,8.14,overcast clouds
313,Nemuro,JP,43.3236,145.575,64.58,88,12,3.94,few clouds
314,Rudnogorsk,RU,57.2639,103.7519,70.21,57,91,3.6,overcast clouds
315,Peterhead,GB,57.5058,-1.7981,59.5,95,24,9.28,few clouds
316,Eureka,US,40.8021,-124.1637,58.19,84,65,4.0,broken clouds
317,Thinadhoo,MV,0.5333,72.9333,82.27,72,100,8.59,overcast clouds
318,Abu Zabad,SD,12.35,29.25,75.87,63,97,4.85,overcast clouds
319,Oistins,BB,13.0667,-59.5333,80.69,83,75,11.5,broken clouds
320,Kendari,ID,-3.945,122.4989,84.9,58,15,2.1,few clouds
321,Batagay,RU,67.6333,134.6333,76.15,47,3,1.52,clear sky
322,Comarapa,BO,-17.9,-64.4833,52.21,93,37,2.44,scattered clouds
323,Saint-Georges,GD,12.0564,-61.7485,76.68,88,20,0.0,few clouds
324,Portland,US,45.5234,-122.6762,88.0,46,20,12.66,few clouds
325,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,6.91,broken clouds
326,Waingapu,ID,-9.6567,120.2641,82.11,49,37,13.8,scattered clouds
327,Port Blair,IN,11.6667,92.75,84.24,79,40,5.75,scattered clouds
328,Pisco,PE,-13.7,-76.2167,58.01,88,13,1.14,smoke
329,Lillooet,CA,50.6856,-121.942,82.63,43,98,4.38,overcast clouds
